Области/Регионы;ГОРОДА;Население
Россия;Москва;13149803
Россия;Санкт-Петербург;5597763
Новосибирская область;Новосибирск;1633851
Свердловская область;Екатеринбург;1536183
Республика Татарстан;Казань;1318604
Красноярский край;Красноярск;1205473
Нижегородская область;Нижний Новгород;1204985
Челябинская область;Челябинск;1177058
Республика Башкортостан;Уфа;1163304
Самарская область;Самара;1158952
Ростовская область;Ростов-на-Дону;1140487
Краснодарский край;Краснодар;1138654
Омская область;Омск;1104485
Воронежская область;Воронеж;1046425
Пермский край;Пермь;1026908
Волгоградская область;Волгоград;1018898
Саратовская область;Саратов;887365
Тюменская область;Тюмень;861098
Самарская область;Тольятти;667956
Республика Дагестан;Махачкала;622091
Алтайский край;Барнаул;620419
Удмуртская Республика;Ижевск;618776
Хабаровский край;Хабаровск;615570
Ульяновская область;Ульяновск;611683
Иркутская область;Иркутск;606369
Приморский край;Владивосток;591628
Ярославская область;Ярославль;567443
Республика Крым;Севастополь;561374
Ставропольский край;Ставрополь;557271
Томская область;Томск;545391
Кемеровская область;Кемерово;544600
Республика Татарстан;Набережные Челны;544383
Оренбургская область;Оренбург;536862
Кемеровская область;Новокузнецк;531186
Московская область;Балашиха (Московская область);530311
Рязанская область;Рязань;520509
Чувашская Республика;Чебоксары;496350
Краснодарский край;Прикубанский;492961
Калининградская область;Калининград;489584
Пензенская область;Пенза;488299
Липецкая область;Липецк;485260
Кировская область;Киров (Кировская область);475464
Астраханская область;Астрахань;465524
Тульская область;Тула;461692
Краснодарский край;Сочи;444989
Курская область;Курск;436678
Республика Бурятия;Улан-Удэ;435751
Ханты-Мансийский АО - Югра;Сургут;420347
Тверская область;Тверь;412994
Челябинская область;Магнитогорск;408715
Брянская область;Брянск;373310
Республика Саха (Якутия);Якутск;367667
Ивановская область;Иваново (Ивановская область);358437
Владимирская область;Владимир;344082
Республика Крым;Симферополь;336801
Чеченская республика;Грозный;333672
Забайкальский край;Чита;333159
Свердловская область;Нижний Тагил;330507
Калужская область;Калуга;329673
Белгородская область;Белгород;328482
Волгоградская область;Волжский (Волгоградская область);315220
Московская область;Подольск (Московская область);312911
Вологодская область;Вологда;311859
Республика Мордовия;Саранск;310898
Смоленская область;Смоленск;310645
Курганская область;Курган;302354
Вологодская область;Череповец;298790
Архангельская область;Архангельск;296665
Республика Северная Осетия-Алания;Владикавказ;292717
Орловская область;Орел;292406
